attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17,attr18,attr19,attr20,attr21,attr22,attr23,attr24,attr25,attr26,attr27,attr28
"69014"," 45"," 216"," 2E-06"," 0.74"," 0.733333333333333"," 0.97","-0.27127722479538197","-0.9659641063341726","-0.10546108373109819","-0.9659619707169681","-14.03399973434285","-0.5238685139852737","-0.9659640219299441","-0.10528944486395336","0.20728212872995339","-0.15015577414499257","1.0120068610634647","-1.3087478559176668","-0.14241072799957416","0.23968715150848519","-0.09323088489106651","0.3887917689205602","0.1501235384525589","1.7200054473648372","-2.3060057197330788","-0.12211376941141303","0.4101782344423559"
"69015"," 45"," 216"," 3E-06"," 0.74"," 0.733333333333333"," 0.97","-0.2712633780712399","-0.9659782401332555","-0.10544732869954998","-0.9659766272495252","-14.033986997356168","-0.5238546869520169","-0.965978178945109","-0.26442036015582393","0.14582260250338824","-0.21271047012286912","0.7277628032345012","-3.2469982847341328","-0.31636545883999706","0.16853505150441267","-0.5185929540003388","0.07019318690297843","-0.45525378883679374","0.3410050388124748","-6.313632030505244","-0.6297035313943523","0.08187802270185363"
"69016"," 45"," 216"," 4E-06"," 0.74"," 0.733333333333333"," 0.97","-0.27124948823994943","-0.9659923216997977","-0.10543351639583598","-0.9659911838057349","-14.0339739944324","-0.523840830415796","-0.965992306156829","-0.3731197085548259","0.10088563727377747","-0.3116358035495509","0.47684391080617505","-4.667238421955402","-0.45630936953390966","0.11506283473938522","-0.625255692635218","0.05086615880180201","-0.5537732728935247","0.3279313632030505","-7.491897044804576","-0.7536784140738022","0.0717434227635535"
"69017"," 45"," 216"," 5E-06"," 0.74"," 0.733333333333333"," 0.97","-0.27123558984945906","-0.9660064053882871","-0.10541965867429581","-0.9660056163912735","-14.033960823548366","-0.5238269573837899","-0.9660064114874283","-0.47109114412733955","0.06015932469532781","-0.40233486190359585","0.27199215878461147","-5.782161234991424","-0.5711988738356476","0.06556016182508329","-0.7338465482883878","0.03111668199896067","-0.6451139082897231","0.19528802941577017","-8.841754051477597","-0.8848496930865927","0.04111311262506234"
"69018"," 45"," 216"," 6E-06"," 0.74"," 0.733333333333333"," 0.97","-0.27122168800570423","-0.9660206116600201","-0.10540573825330313","-0.9660200209834354","-14.03394943024379","-0.5238131007170812","-0.9660206091023178","-0.5770775720236634","0.02331361361010964","-0.4992298806314988","0.1220289144817448","-7.030874785591766","-0.6995445837472142","0.027460684977600236","-0.838505434858132","0.010455605366210374","-0.7333223089044976","0.07190521585183174","-10.13250714966635","-1.0104993398388222","0.014877618913949564"
"69019"," 45"," 216"," 7E-06"," 0.74"," 0.733333333333333"," 0.97","-0.27120765526434576","-0.9660344819704185","-0.10539177612789152","-0.9660339316924402","-14.033933516008783","-0.5237990457541993","-0.9660344703623795","-0.5626003280508476","0.013022018412854108","-0.48515769944341464","0.06763048272482253","-6.7735849056603765","-0.6748778522405655","0.01861574258295773","-0.841934356474443","0.0048136917847625416","-0.7356374389603331","0.024240773525807002","-10.208770257387988","-1.0151588602517783","0.0033396872688493673"
"69020"," 45"," 216"," 8E-06"," 0.74"," 0.733333333333333"," 0.97","-0.27119375648619215","-0.9660485453779918","-0.10537782499987791","-0.9660482583030501","-14.033920219154552","-0.5237851351123908","-0.9660485475422045","-0.6025927768804163","-5.200806124950885E-4","-0.5289494871705125","-0.013722126929674616","-7.3602058319039445","-0.7322531357156266","-0.0018702898949337632","-0.8873635726931381","-0.00320171647577705","-0.768496721853662","-0.010622361432657157","-10.775023832221162","-1.0686243646891627","-0.002478114258874453"
"69021"," 45"," 216"," 9E-06"," 0.74"," 0.733333333333333"," 0.97","-0.271179808265654","-0.9660626581616383","-0.10536386401705289","-0.9660625749160263","-14.033908014042039","-0.5237712317940785","-0.9660626636705407","-0.6660451119923586","-0.009131415369382223","-0.5787972135681041","-0.04753736829208516","-8.08404802744425","-0.8012829424785317","-0.013567817297395535","-0.933300700097552","-0.006031011069823511","-0.8083013949144975","-0.03404603023287511","-11.301239275500478","-1.124047997982817","-0.007103014354123749"
"69112"," 45"," 216"," 0"," 0.74"," 0.733333333333333"," 0.97","-0.2699055276839335","-0.9673358166312769","-0.10408938838963955","-0.9673333002878176","-14.032627694939931","-0.5224967574605074","-0.9673356728096187","-0.23333179142767108","0.08013242052518135","-0.25181153078727236","0.43028669443763823","-2.636363636363636","-0.28538648618086765","0.09353806982939548","-0.5673816101409919","0.06595202427968327","-0.43910624306920193","0.20427618139724868","-7.232602478551001","-0.6832444092901719","0.05927880383491335"
"69113"," 45"," 216"," 1E-06"," 0.74"," 0.733333333333333"," 0.97","-0.2698913732111703","-0.9673495888016285","-0.10407513333352958","-0.9673468710772407","-14.032612690489685","-0.5224826106294699","-0.9673494998722314","0.05538170916492044","0.2859743260205334","0.07419400007001087","1.2555746140651804","0.36535162950257405","0.0570028469208646","0.3158235955144492","0.24944518867059273","0.43411606778078293","0.3123188264819755","2.877842843524445","2.795996186844615","0.3424343233501084","0.6607643621640046"
"69114"," 45"," 216"," 2E-06"," 0.74"," 0.733333333333333"," 0.97","-0.26987751127124004","-0.9673637468398747","-0.10406136816152223","-0.9673613896424379","-14.032599645575846","-0.5224687811280859","-0.9673636470894228","0.08061312003360532","0.3529947141806986","0.11178982742325072","1.7476108796863519","0.5300171526586633","0.0928837400919591","0.4255202413516975","0.21210572612539486","0.434293940918326","0.3194004007704134","2.1936538199645925","2.1477597712106773","0.2772747023446748","0.5262986227934131"
